variable,mean,sd,ess_bulk,rhat,CI_2_5,CI_5,CI_10,CI_25,CI_75,CI_90,CI_95,CI_97_5,p_positive,model
meanme_medHe,0.16357849196826,0.04702473003954047,2661.3799938235493,1.0009640336731833,0.06960612000000001,0.08573987,0.1042178,0.13331225,0.19466025,0.2228741,0.2398301,0.2534992999999999,0.9987,dHe_27
sdme_medHe,0.23051547345,0.037709006688286896,4363.202931930727,1.0008332037181282,0.170025575,0.177318,0.18626350000000003,0.203841,0.25241025,0.2803693,0.29893064999999996,0.31664925,1,dHe_27
lprior,-7.2297625805,0.6729314097788714,14102.60178634173,1.0000735031548256,-8.9803245,-8.557716999999998,-8.137770000000002,-7.5379425,-6.715794999999999,-6.599791,-6.5679695,-6.552167750000001,0,dHe_27
lp__,-55.91651514,8.645053729154943,2358.8389753780766,1.0013326342431756,-73.14574750000001,-70.39860499999999,-67.17912,-61.807475,-49.733850000000004,-44.854209999999995,-42.197165000000005,-39.914400000000036,0,dHe_27
"z_1[1,1]",-0.2696928308310815,0.6750690696413573,19547.569487827684,1.0000976197123441,-1.5946352499999998,-1.349212,-1.092202,-0.69201325,0.13430625000000002,0.5576311,0.8472252999999995,1.1367352499999996,0.32395,dHe_27
"z_1[1,2]",-0.90290323288386,0.7824989397661049,10510.28781290247,1.0001807115615604,-2.3251635,-2.0915835,-1.841848,-1.4266124999999998,-0.43594374999999996,0.10003340000000023,0.4735829499999996,0.8100786249999998,0.1192,dHe_27
"z_1[1,3]",1.5050831482182,0.8037446771594817,8869.474722551018,1.0002845892469927,-0.35510265,0.062590695,0.49780510000000006,1.07054,2.03125,2.4388660000000018,2.6971684999999996,2.9116197499999994,0.9542,dHe_27
"z_1[1,4]",-0.25712611892167,0.7426669737781302,24622.692963937483,1.000368549188384,-1.70605125,-1.4594515,-1.1719810000000002,-0.72949725,0.20349700000000004,0.675272,0.9755116499999998,1.2747057499999996,0.35025,dHe_27
"z_1[1,5]",0.117243467040655,0.7370975867986467,25674.67417374553,1.0005504635610856,-1.366501,-1.0960999999999999,-0.7997969,-0.35472399999999993,0.58596625,1.0293630000000003,1.327872,1.5933405,0.5698,dHe_27
"z_1[1,6]",0.4708853006300621,0.6654721357350079,17693.32008968305,1.000053556131342,-0.9277365249999998,-0.6437511,-0.33668789999999993,0.0745759,0.88370625,1.2803940000000005,1.529912,1.7730942499999987,0.7864,dHe_27
"z_1[1,7]",-0.548729513273915,0.7534293586618778,19789.020415352017,1.000212914034635,-1.98146475,-1.7400545,-1.472562,-1.0370075,-0.08736279999999999,0.40289120000000006,0.7439913999999999,1.0393172499999959,0.21535,dHe_27
"z_1[1,8]",0.4839828931642,0.7729845518101285,18731.223633226906,1.0002405534608068,-1.1325070000000002,-0.8072488,-0.4918043999999999,0.0081055325,0.9846245,1.4306860000000003,1.7067649999999994,1.9809287499999992,0.7537,dHe_27
"z_1[1,9]",-0.7224190598816,0.6854120967360904,16457.90118327455,1.0000545680175474,-2.033471,-1.7989339999999998,-1.5312999999999999,-1.1518525,-0.33035875000000003,0.11694730000000031,0.45630669999999995,0.7686068999999978,0.12715,dHe_27
"z_1[1,10]",0.694422020019695,0.7805817789348479,15100.552284985586,1.0000831554030456,-0.9861707000000001,-0.65302505,-0.3104228,0.2217885,1.21325,1.630605,1.8979899999999996,2.1330257499999976,0.82435,dHe_27
"z_1[1,11]",-0.9708357695635,0.8167090712475282,11851.061121001994,1.0001612123478325,-2.45381025,-2.20776,-1.945482,-1.514825,-0.48868625,0.07372464000000026,0.461907949999999,0.8344847749999991,0.1124,dHe_27
"z_1[1,12]",0.351553468793655,0.7383684944785088,21082.26354469362,1.0001584631127376,-1.19418075,-0.8941293,-0.5705547000000001,-0.10734075,0.8242995,1.2636260000000008,1.5481734999999994,1.776691249999999,0.70045,dHe_27
"z_1[1,13]",-0.172419601283089,0.6520695889311988,20576.07396437918,1.0000678402609509,-1.4856195,-1.23078,-0.9716622,-0.57592925,0.221089,0.6255696000000002,0.9197572499999997,1.1753124999999989,0.38015,dHe_27
"z_1[1,14]",-0.298296661934196,0.7457229807701322,22617.015109808952,1.0003920062763527,-1.75863475,-1.4998599999999997,-1.215851,-0.7807850000000001,0.1641605,0.6379439000000006,0.9438381499999999,1.23946,0.32715,dHe_27
"z_1[1,15]",-0.113784126694865,0.7395499800771004,25891.265502974056,1.000346639737975,-1.6169915,-1.3313455,-1.039376,-0.578875,0.35621424999999995,0.8079586000000001,1.0915394999999994,1.3663882499999975,0.4324,dHe_27
"z_1[1,16]",-0.536993943847475,0.7702322620805646,15614.460540392429,1.0004479687268077,-1.9965875,-1.739805,-1.4625299999999999,-1.04077,-0.07437384999999999,0.4370219000000002,0.7684636999999973,1.1136744999999995,0.2225,dHe_27
"z_1[1,17]",0.296754196919122,0.5965425670916042,16030.261616353873,1.0002067781429729,-0.937641525,-0.67136715,-0.40168459999999995,-0.04817685,0.65702825,0.9997714000000002,1.2518984999999998,1.4829029999999999,0.7207,dHe_27
"z_1[1,18]",1.009224046400155,0.8170341749246276,10367.962047619261,1.0003348191816912,-0.79068835,-0.43915249999999995,-0.032613339999999914,0.522725,1.5515299999999999,1.9937460000000002,2.2464255,2.4753874999999983,0.89375,dHe_27
"z_1[1,19]",-0.07036826333901,0.7966862110959948,22715.68141657034,1.0000548251873862,-1.6653149999999999,-1.3856815,-1.084528,-0.59151875,0.45845400000000003,0.9275977000000005,1.2144905000000001,1.4721622499999991,0.4691,dHe_27
zme_1[1],-0.2867052360611425,0.4533963567552833,11536.509973318976,1.0002032667029745,-1.18398025,-1.0377995,-0.8654302,-0.5859765,0.01414405,0.291815200000001,0.4559685499999999,0.5967913749999982,0.26025,dHe_27
zme_1[2],-0.56927042266937,0.5234344500870276,13663.127899132343,1.0001884506337542,-1.60734125,-1.4302765000000002,-1.2334,-0.917273,-0.216965,0.09050446000000038,0.2845759999999998,0.45824079999999606,0.13335,dHe_27
zme_1[3],-0.10503422642329,0.4551881312647687,12004.915626586799,1.0001583320011305,-1.00357425,-0.8598024,-0.6877249999999999,-0.406493,0.19534225,0.4731512000000005,0.6404193499999999,0.7826662499999987,0.409,dHe_27
zme_1[4],-0.04292431901714,0.33559822906021697,6597.255572322741,1.0004297623336247,-0.7045825749999999,-0.59129355,-0.468967,-0.26802725,0.183169,0.38731170000000004,0.51152225,0.6186476749999987,0.44685,dHe_27
zme_1[5],-0.577504123386925,0.3301072421324974,5430.447249136971,1.0003889348271016,-1.244411,-1.132031,-1.002223,-0.7936425,-0.35219075000000005,-0.16015389999999988,-0.04089056500000003,0.051669414999999067,0.03715,dHe_27
zme_1[6],-0.54264005898191,0.35772444115006674,6863.561929396337,1.0002733398073873,-1.2713572499999999,-1.1457644999999999,-1.0032079999999999,-0.7784935,-0.29867524999999995,-0.09147601999999945,0.03130693499999993,0.13529312499999843,0.0598,dHe_27
